Field Word,Type,Level,Page
baby-sitter,n.,2,5
bachelor,n.,5,5
back,n./adj./adv./v.,1,5
backbone,n.,5,5
background,n.,3,5
backpack,n./v.,4,5
backward,adj.,2,5
backward(s),adv.,2,5
bacon,n.,3,5
bacteria,n.,3,5
bad,adj.,1,5
badge,n.,5,5
badly,adv.,3,6
badminton,n.,3,6
bag,n.,1,6
baggage,n.,3,6
bait,n./v.,3,6
bake,v.,2,6
bakery,n.,2,6
balance,n./v.,3,6
balcony,n.,2,6
bald,adj.,4,6
ball,n./v.,1,6
ballet,n.,4,6
balloon,n./v.,1,6
ballot,n./v.,5,6
bamboo,n.,2,6
ban,v./n.,5,6
banana,n.,1,6
band,n.,1,6
bandage,n./v.,3,6
bandit,n.,5,6
bang,n./v./adv.,3,6
bank (1),n.,1,6
bank (2),n./v.,1,6
banker,n.,2,6
bankrupt,adj./n./v.,4,6
banner,n.,5,6
banquet,n./v.,5,6
bar,n./v.,1,6
barbarian,n./adj.,5,6
barbecue/BBQ,n./v.,2,6
barber,n.,1,6
barbershop,n.,5,6
bare,adj./v.,3,6
barefoot,adj./adv.,5,6
barely,adv.,3,6
bargain,n./v.,4,6
bark (1),n./v.,2,6
bark (2),n.,2,6
barn,n.,3,6
barometer,n.,6,6
barrel,n.,3,6
barren,adj.,5,6
barrier,n.,4,6
base,n./v.,1,6
baseball,n.,1,6
basement,n.,2,6
basic,adj.,1,6
basics,n.,2,6
basin,n.,4,6
basis,n.,2,6
basket,n.,1,6
basketball,n.,1,6
bass,n./adj.,5,6
bat (1),n./v.,1,6
bat (2),n.,1,6
batch,n.,5,6
bath,n.,1,6
bathe,v.,1,6
bathroom,n.,1,6
batter,v./n.,5,6
battery,n.,4,6
battle,n./v.,2,6
bay,n.,3,6
bazaar,n.,5,6
be,v.,1,6
beach,n./v.,1,6
bead,n./v.,2,6
beak,n.,4,6
beam (1),v.,3,6
beam (2),n.,4,6
bean,n.,2,6
bear (1),n.,1,6
bear (2),v.,2,6
beard,n.,2,6
beast,n.,3,6
beat,v./n.,1,6
beautiful,adj.,1,6
beautify,v.,5,6
beauty,n.,1,6
because,conj.,1,6
beckon,v.,6,6
become,v.,1,6
bed,n.,1,6
bedroom,n.,2,6
bee,n.,1,6
beef,n.,2,6
beep,n./v.,2,7
beer,n.,2,7
beetle,n.,2,7
before,conj./prep./adv.,1,7
beforehand,adv.,5,7
beg,v.,2,7
beggar,n.,3,7
begin,v.,1,7
beginner,n.,2,7
behalf,n.,5,7
behave,v.,3,7
behavior,n.,4,7
behind,prep./adv.,1,7
being,n.,3,7
belief,n.,2,7
believable,adj.,2,7
believe,v.,1,7
bell,n.,1,7
belly/stomach/tummy/abdomen,n.,3,7
belong,v.,1,7
belongings,n.,5,7
beloved,adj./n.,5,7
below,prep./adv.,1,7
belt,n./v.,2,7
bench,n.,2,7
bend,v./n.,2,7
beneath,prep.,3,7
beneficial,adj.,5,7
benefit,n./v.,3,7
berry,n.,3,7
beside,prep.,1,7
besides,prep./adv.,2,7
besiege,v.,6,7
best,adj./adv./n./v.,1,7
bet,v./n.,2,7
betray,v.,6,7
better,adj./adv./n./v.,1,7
between,prep./adv.,1,7
beverage,n.,6,7
beware,v.,5,7
beyond,prep./adv.,2,7
bias,n./v.,6,7
Bible/bible,n.,3,7
bicycle/bike,n.,1,7
bid,v./n.,5,7
big,adj.,1,7
bill,n./v.,2,7
billion,n.,3,7
bind,v.,2,7
bingo,n.,3,7
binoculars,n.,6,7
biochemistry,n.,6,7
biography,n.,4,7
biological,adj.,6,7
biology,n.,4,7
bird,n.,1,7
birth,n.,1,7
biscuit,n.,3,7
bit,n.,1,7
bite,v./n.,1,7
bitter,adj.,2,7
bizarre,adj.,6,7
black,adj./n.,1,7
blackboard,n.,2,7
blacksmith,n.,5,7
blade,n.,4,7
blame,v./n.,3,7
blank,adj./n.,2,7
blanket,n./v.,3,7
blast,n./v.,5,7
blaze,v./n.,5,7
bleach,v./n.,5,7
bleak,adj.,6,7
bleed,v.,3,7
blend,v./n.,4,7
bless,v.,3,7
blessing,n.,4,7
blind,adj./v.,2,7
blink,v./n.,4,7
blizzard,n.,5,7
block,n./v.,1,7
blond/blonde,adj./n.,5,7
blood,n.,1,7
bloody,adj.,2,7
bloom,n./v.,4,7
blossom,n./v.,4,7
blot/stain,n./v.,5,8
blouse,n.,3,8
blow,v./n.,1,8
blue,adj./n.,1,8
blues,n.,5,8
blunder,n./v.,6,8
blunt,adj./v.,6,8
blur,v./n.,5,8
blush,v./n.,4,8
board (1),n.,2,8
board (2),v.,2,8
boast,v./n.,4,8
boat,n.,1,8
bodily,adj./adv.,5,8
body,n.,1,8
bodyguard,n.,5,8
bog,n./v.,5,8
boil,v./n.,2,8
bold,adj.,3,8
bolt,n./v.,5,8
bomb,n./v.,2,8
bombard,v.,6,8
bond,n./v.,4,8
bondage,n.,6,8
bone,n.,1,8
bonus,n.,5,8
bony,adj.,2,8
book (1),n.,1,8
book (2),v.,1,8
bookcase,n.,2,8
boom,n./v.,5,8
boost,v./n.,6,8
boot,n./v.,3,8
booth,n.,5,8
border,n./v.,3,8
bore,v./n.,3,8
boredom,n.,5,8
born,adj.,1,8
borrow,v.,2,8
bosom,n.,5,8
boss,n./v.,2,8
botany,n.,5,8
both,adj./pron./adv.,1,8
bother,v./n.,2,8
bottle,n./v.,2,8
bottom,n./adj./v.,1,8
boulevard,n.,5,8
bounce,v./n.,4,8
bound,v./n.,5,8
boundary,n.,5,8
bout,n.,6,8
bow (1),n./v.,2,8
bow (2),v./n,2,8
bowel,n.,5,8
bowl,n.,1,8
bowling,n.,2,8
box,n./v.,1,8
boxer,n.,5,8
boxing,n.,5,8
boy,n.,1,8
boycott,v./n.,6,8
boyhood,n.,5,8
brace,n./v.,5,8
bracelet,n.,4,8
braid,n./v.,5,8
brain,n.,2,8
brake,n./v.,3,8
branch,n./v.,2,8
brand,n./v.,2,8
brass,n./adj.,3,8
brassiere/bra,n.,4,8
brave,adj.,1,8
bravery,n.,3,8
bread,n.,1,8
breadth,n.,5,8
break,v./n.,1,8
breakdown,n.,6,8
breakfast,n./v.,1,8
breakthrough,n.,6,8
breakup,n.,6,8
breast,n.,3,8
breath,n.,3,8
breathe,v.,3,8
breed,v./n.,4,8
breeze,n./v.,3,8
brew,v./n.,6,8
bribe,v./n.,5,9
brick,n.,2,9
bride,n.,3,9
bridegroom/groom,n.,4,9
bridge,n./v.,1,9
brief,adj./n./v.,2,9
briefcase,n.,5,9
bright,adj./adv.,1,9
brilliant,adj.,3,9
bring,v.,1,9
brink,n.,6,9
brisk,adj.,6,9
broad,adj.,2,9
broadcast,v./n.,2,9
broaden,v.,5,9
brochure,n.,6,9
broil,v.,4,9
broke,adj.,4,9
bronze,n./adj.,5,9
brooch,n.,5,9
brood,n./v.,5,9
brook,n.,3,9
broom,n.,3,9
broth,n.,5,9
brother,n.,1,9
brotherhood,n.,5,9
brow(s),n.,3,9
brown,adj./n./v.,1,9
browse,v./n.,5,9
bruise,n./v.,5,9
brunch,n.,2,9
brush,n./v.,2,9
brutal,adj.,4,9
brute,n./adj.,6,9
bubble,n./v.,3,9
bucket/pail,n.,3,9
buckle,n./v.,6,9
bud,n./v.,3,9
budget,n./v.,3,9
buffalo,n.,3,9
buffet,n.,3,9
bug,n./v.,1,9
build,v.,1,9
building,n.,1,9
bulb,n.,3,9
bulge,n./v.,5,9
bulk,n.,5,9
bulky,adj.,6,9
bull,n.,3,9
bullet,n.,3,9
bulletin,n.,4,9
bully,n./v.,5,9
bump,v./n.,3,9
bun/roll,n.,2,9
bunch,n.,3,9
bundle,n.,2,9
burden,n./v.,3,9
bureau,n.,5,9
bureaucracy,n.,6,9
burglar,n.,3,9
burial,n.,6,9
burn,v./n.,2,9
burst,v./n.,2,9
bury,v.,3,9
bus,n./v.,1,9
bush,n.,3,9
business,n.,2,9
busy,adj./v.,1,9
but,conj./prep./adv.,1,9
butcher,n./v.,5,9
butter,n./v.,1,9
butterfly,n.,1,9
button,n./v.,2,9
buy,v./n.,1,9
buzz,v./n.,3,9
by,prep./adv.,1,9
byte,n.,6,9
cabbage,n.,2,9
cabin,n.,3,9
cabinet,n.,4,9
cable,n./v.,2,9
cactus,n.,5,9
café/cafe,n.,2,9
cafeteria,n.,2,9
caffeine,n.,6,9
cage,n./v.,1,10
cake,n.,1,10
calcium,n.,6,10
calculate,v.,4,10
calculation,n.,4,10
calculator,n.,4,10
calendar,n.,2,10
calf (1),n.,5,10
calf (2),n.,5,10
call,v./n.,1,10
calligraphy,n.,5,10
calm,adj./n./v.,2,10
calorie,n.,4,10
camel,n.,1,10
camera,n.,1,10
camp,n./v.,1,10
campaign,n./v.,4,10
campus,n.,3,10
can (1),v.(aux.),1,10
can (2),n./v.,1,10
canal,n.,5,10
cancel,v.,2,10
cancer,n.,2,10
candidate,n.,4,10
candle,n.,2,10
candy/sweet,n.,1,10
cane,n.,3,10
cannon,n./v.,5,10
canoe,n./v.,3,10
canvas,n./v.,6,10
canyon,n.,3,10
cap,n./v.,1,10
capability,n.,6,10
capable,adj.,3,10
capacity,n.,4,10
cape,n.,4,10
capital (1),n./adj.,3,10
capital(ism) (2),n.,4,10
capitalist,n.,4,10
capsule,n.,6,10
captain,n.,2,10
caption,n./v.,6,10
captive,n./adj.,6,10
captivity,n.,6,10
capture,v./n.,3,10
car,n.,1,10
carbohydrate,n.,6,10
carbon,n.,5,10
card,n.,1,10
cardboard,n.,5,10
care,n./v.,1,10
career,n.,4,10
carefree,adj.,5,10
careful,adj.,1,10
caress,v./n.,6,10
caretaker,n.,5,10
cargo,n.,4,10
carnation,n.,5,10
carnival,n.,5,10
carol,n.,6,10
carp,n.,5,10
carpenter,n.,3,10
carpet,n./v.,2,10
carriage,n.,3,10
carrier,n.,4,10
carrot,n.,2,10
carry,v.,1,10
cart,n./v.,2,10
carton,n.,5,10
cartoon,n./v.,2,10
carve,v.,4,10
case (1),n.,1,10
case (2),n./v.,1,10
cash,n./v.,2,10
cashier,n.,6,10
cassette,n.,2,10
cast (1),v./n.,3,10
cast (2),n./v.,3,10
castle,n.,2,10
casual,adj.,3,10
casualty,n.,6,10
cat,n.,1,10
catalogue/catalog,n./v.,4,10
catastrophe,n.,6,10
catch,v./n.,1,10
category,n.,5,10
